p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acaryochloridaceae	0.376171209887038	0.0162730226644612	0.0155173899140847	0.734469977145051	0.999897552173683	0.999361567218062
Acetobacteraceae	0.21390979365377	0.715561140907571	0.590162154013704	0.70107134961923	0.999897552173683	0.999361567218062
Acholeplasmataceae	0.154221033149981	0.20979558510764	0.208978736955389	0.70107134961923	0.999897552173683	0.999361567218062
Acidaminococcaceae	0.00179614596735405	0.769375731836071	0.603480362190766	0.70107134961923	0.999897552173683	0.999361567218062
Acidiferrobacteraceae	0.630910515504286	0.95075264257923	0.976128887843304	0.822464377446173	0.999897552173683	0.999361567218062
Acidilobaceae	0.301020348192455	0.0952895047590018	0.0658625702370662	0.728786106150155	0.999897552173683	0.999361567218062
Acidimicrobiaceae	0.864647820433703	0.821431872761537	0.785153336899981	0.941115548774171	0.999897552173683	0.999361567218062
Acidithiobacillaceae	0.818806720344354	0.599151804311542	0.64443919259046	0.916797788296315	0.999897552173683	0.999361567218062
Acidobacteriaceae	0.187920629313532	0.874150142003746	0.995390747355357	0.70107134961923	0.999897552173683	0.999361567218062
Acidothermaceae	0.439309099513714	0.919339254957421	0.83770495624032	0.734469977145051	0.999897552173683	0.999361567218062
Actinomycetaceae	0.895561031738999	0.896344735395314	0.903240207792052	0.951888308692999	0.999897552173683	0.999361567218062
Actinopolysporaceae	0.33899091155705	0.522122457173134	0.563290866356667	0.734469977145051	0.999897552173683	0.999361567218062
Aerococcaceae	0.197703469755911	0.238769970181662	0.20694785231121	0.70107134961923	0.999897552173683	0.999361567218062
Aeromonadaceae	0.520155593417027	0.93379560277073	0.959788932173861	0.751638449126175	0.999897552173683	0.999361567218062
Akkermansiaceae	0.0165721381519481	0.0914847997493054	0.0921004477987702	0.70107134961923	0.999897552173683	0.999361567218062
Alcaligenaceae	0.431496044180461	0.71627730890904	0.825348648640942	0.734469977145051	0.999897552173683	0.999361567218062
