Taxa	t.HC.T1.All	p.vals.HC.T1.All	adj.p.vals.HC.T1.All	t.HC.T2.All	p.vals.HC.T2.All	adj.p.vals.HC.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.HC.T1.UNC	p.vals.HC.T1.UNC	adj.p.vals.HC.T1.UNC	t.HC.T2.UNC	p.vals.HC.T2.UNC	adj.p.vals.HC.T2.UNC	t.T1.T2.UNC	p.vals.T1.T2.UNC	adj.p.vals.T1.T2.UNC	t.HC.T1.Denver	p.vals.HC.T1.Denver	adj.p.vals.HC.T1.Denver	t.HC.T2.Denver	p.vals.HC.T2.Denver	adj.p.vals.HC.T2.Denver	t.T1.T2.Denver	p.vals.T1.T2.Denver	adj.p.vals.T1.T2.Denver
Guyparkeria	0.643893719364375	0.520457592696222	0.620235189958683	-0.147175275988851	0.883178928421743	0.903275865907354	-1.33909204578546	0.184532075492272	0.756449580313764	-1.0162768031368	0.312625485897797	0.982765380621359	-0.827780005693921	0.411183721328836	0.929300656992424	-0.355435666794661	0.724595537841718	0.999702432312913	2.41253026208587	0.0181228548057035	0.0341317186204811	1.50315542999393	0.137292847361599	0.175090494756396	-1.33267516187569	0.189657496521021	0.786350468226953
Gynuella	2.06909470616825	0.0399154743930088	0.0966616119234385	1.90998628498951	0.0578563078905434	0.124630880857479	-0.718828208296828	0.474451116094683	0.806490713351882	0.773890794867743	0.440969132339982	0.982765380621359	1.17911268561095	0.241765048686308	0.929300656992424	-0.0957774441549314	0.924294630240402	0.999702432312913	2.15915808789138	0.0341877713130562	0.0551983142656432	1.75701375342989	0.0834171914465216	0.118263247549502	-0.782705671782815	0.438089420692495	0.804666873799083
Haematobacter	-0.318430689372071	0.750536755284339	0.809956277766292	-0.318653582997201	0.750399874645422	0.792167846783985	-0.550718687807549	0.583441788074574	0.846745378218886	-1.90306613194034	0.0603681772296627	0.717087705235207	-1.05531237046583	0.29512427336168	0.929300656992424	0.580648588498609	0.565544449582294	0.999702432312913	1.21692845414973	0.22713153506853	0.261760043533586	0.924304913320571	0.358420336220993	0.396048517698014	-0.902200785537926	0.371976332849444	0.797098794368662
Haematospirillum	-0.0956697345007768	0.923900546089058	0.946087812897847	-0.436616000492732	0.663082396869616	0.726899160180733	-0.735387242625314	0.46436709501796	0.805258059452417	-1.41601058493351	0.161385345756854	0.919122705457701	-1.33598137520228	0.18672376349624	0.929300656992424	-0.254118887940605	0.801029540924322	0.999702432312913	0.650663097778372	0.517177142344033	0.550618173955267	0.258524067555056	0.796741716075015	0.814370912005378	-0.696859923481682	0.489640866134293	0.819901000582925
Haemophilus	1.02886753024338	0.304866232427857	0.416934658328558	1.64816139167954	0.101418135150074	0.180576401236159	0.764778940032297	0.446771434475897	0.794631973832531	1.33110774282891	0.186171774373106	0.946800185879128	1.23817364362815	0.22019832842828	0.929300656992424	0.085804850430744	0.932156182853873	0.999702432312913	-0.131053244612884	0.896055990898037	0.905860858883548	0.692521756910627	0.490907095741028	0.524336635714349	0.883125944927797	0.382079054214528	0.797216951463575
Hafnia	0.0640497182649815	0.949009916338144	0.962301960270305	1.18200850270617	0.238941137468761	0.330646631630065	0.653552382331013	0.515372746184481	0.821202765220652	-0.624783592497823	0.534035585761202	0.983253893618217	0.338976386506887	0.735684087108286	0.948748139678729	0.38893278981507	0.699901905403892	0.999702432312913	1.20833335018936	0.230680126631996	0.265114755071879	2.25967885355624	0.0269069864145763	0.0497916945232326	0.546454133096554	0.587578286289148	0.857191429502266
Hahella	0.0403785082354726	0.967835087901553	0.976052001928613	-0.321268488353227	0.748417597239699	0.791238693076682	-0.955648206531466	0.342279958149821	0.758231350368601	-1.75968284722818	0.0820403124499393	0.761509111955257	-1.06438147287438	0.290864966858453	0.929300656992424	0.217581856665527	0.829136381693141	0.999702432312913	2.07806282631906	0.0409128592145216	0.0634092123706891	1.25210636339506	0.214605982309514	0.254739292348838	-1.33692694245418	0.188276854491471	0.786350468226953
Halalkaliarchaeum	-1.08634852369709	0.278822582534025	0.38964870147402	0.313556982136617	0.754368819094648	0.795003387930545	1.62150581076294	0.109050922460864	0.756449580313764	-1.76050331205925	0.0824243175898655	0.761509111955257	0.150810294679517	0.880705668856836	0.982302835217249	1.97809521654816	0.0565821149107428	0.999702432312913	0.38738517081547	0.699519331930297	0.723445677238858	0.737610372684662	0.463203505377858	0.498580860481151	0.648796221753596	0.519920328676607	0.830573973668778
Halalkalicoccus	1.30645573076592	0.19300978570286	0.298007672527843	0.942567416890013	0.347530869263154	0.43850063397923	-0.253902964269837	0.800256180721902	0.928699252296248	-0.974454762616275	0.332518171413812	0.982765380621359	0.414357950046883	0.680241608120528	0.932091497499347	1.25065061806078	0.220129726070497	0.999702432312913	2.07943558851849	0.041717077943784	0.0643557519670805	1.01256659107181	0.314719730601093	0.354592758800554	-1.24209755218277	0.22093253042654	0.786350468226953
Halanaeroarchaeum	2.39248067601819	0.0177520819056438	0.0587051814232754	1.9880890607809	0.0485097892202429	0.1140257727178	-0.533422512102755	0.595297734201878	0.853880481768104	0.504884015922059	0.61523714326897	0.983253893618217	0.415355577846797	0.679472672193471	0.932091497499347	-0.405884126302241	0.687529114638113	0.999702432312913	2.95133282116487	0.00426908882612274	0.0123473318300977	2.63738767774406	0.0104532726402366	0.0282204422089504	-0.356828866273719	0.722965103636021	0.912914986505169
Halanaerobium	2.17988837667753	0.0305075196185067	0.0821992007925695	2.29172328054584	0.0232316657634273	0.0742966541626531	0.00581817135681755	0.995373042313338	0.99743155873931	0.443136574961906	0.658839422428456	0.983253893618217	0.878224194643077	0.38324596988859	0.929300656992424	0.208085065620529	0.836481290458464	0.999702432312913	2.93708543745095	0.00451696552304589	0.0128186240014084	2.76386181722835	0.00731324928566706	0.0234786362202014	-0.163900654263355	0.87057732765196	0.971558982619742
Halapricum	1.29727937249179	0.196148586368742	0.301474213614805	1.19677810628183	0.233194386009256	0.324792515857113	-0.561301944131274	0.576243096500916	0.846385819723474	-0.496657201644722	0.620860145493516	0.983253893618217	-0.282076613375745	0.778769770281349	0.96390687134327	-0.451470312328883	0.654695633967811	0.999702432312913	2.86848211917167	0.00531158255555296	0.0142882865607352	2.46621208046556	0.0160380588797543	0.0359451373544898	-0.369454747674773	0.713602044699866	0.911278504502984
