Species	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
[Clostridium] hiranonis	1.581386798	0.115489645	0.215761832	2.911264024	0.004119973	0.022296798	1.48255365	0.142327962	0.684292378	0.069119637	0.945061425	0.99102174	1.81580843	0.074468096	0.621569132	1.607510545	0.11776612	0.999967035	1.871235787	0.065445876	0.099249162	2.271615072	0.026289304	0.054085059	0.630417932	0.531757457	0.885421315
[Clostridium] hylemonae	-2.527923602	0.012370272	0.047124039	-0.808077396	0.420300625	0.522368263	1.731505079	0.087419272	0.658891444	-2.239138615	0.028453309	0.53293604	0.793250459	0.430470268	0.86749592	2.845226162	0.007678344	0.719904695	-1.494588582	0.139051688	0.182793113	-1.496163154	0.139048408	0.186089827	0.147332181	0.883558489	0.977082786
[Clostridium] innocuum	-3.121375338	0.002143649	0.015779733	-1.982773061	0.049638054	0.110838245	0.914048891	0.363581964	0.784107868	-1.608983079	0.112734038	0.723528616	-0.26214754	0.794278564	0.958334681	1.333976988	0.191628208	0.999967035	-3.030628896	0.00328932	0.012847533	-2.557936831	0.012941974	0.034638083	0.282793807	0.77869181	0.952248422
[Clostridium] scindens	-4.609298346	7.65E-06	0.000438589	-1.649914112	0.10087881	0.180948729	3.620180654	0.000528416	0.086380504	-4.865222319	6.81E-06	0.023688593	-1.195552786	0.236844247	0.781205076	3.176321724	0.003294364	0.580403916	-1.929820056	0.057686312	0.090017575	-0.858779618	0.393952876	0.440738745	1.991099737	0.052848016	0.84843959
[Clostridium] ultunense	2.756278361	0.006470473	0.031524312	3.73755474	0.000272658	0.004496831	1.43057938	0.156649606	0.695015529	1.361249323	0.177749708	0.80487879	2.065253656	0.044417594	0.562353044	0.744426629	0.462050562	0.999967035	2.525917491	0.013537409	0.031574031	3.249221393	0.001762654	0.01145828	1.242048454	0.220950465	0.850407114
[Enterobacter] lignolyticus	1.764257183	0.079452876	0.165454884	2.443472127	0.015664451	0.0528295	0.486743285	0.627841071	0.886341806	0.393441571	0.69504979	0.949091934	1.442932443	0.153167833	0.71517373	1.037331423	0.307356825	0.999967035	2.019208869	0.046763066	0.07669198	2.17573189	0.032859716	0.063278383	-0.17113775	0.864918255	0.973546011
[Eubacterium] cellulosolvens	2.018062523	0.045059499	0.112154365	1.25525768	0.211392616	0.310578947	-0.860327577	0.392314408	0.78852115	0.704717678	0.483290606	0.904497151	0.726102962	0.471119078	0.874320423	0.056530858	0.955270424	0.999967035	2.183273304	0.032714868	0.058844412	1.390956893	0.168964661	0.216284106	-1.034723156	0.306582607	0.850407114
[Eubacterium] minutum	0.196713138	0.844280207	0.891095593	1.309343946	0.192242241	0.288233713	1.02274203	0.309674331	0.767194283	-0.967886604	0.336661908	0.865929425	0.700469398	0.485602166	0.878726968	1.42546554	0.163704774	0.999967035	1.247972246	0.216027488	0.262846055	1.402536489	0.165293113	0.212711072	0.387678582	0.70016638	0.930319087
[Eubacterium] sulci	1.955572716	0.052156836	0.12288584	3.971861833	0.000107074	0.002476964	1.596323481	0.114566673	0.670533588	0.364521043	0.716786352	0.956323109	2.987253589	0.003954774	0.305286611	2.175261858	0.037109545	0.999967035	2.052378839	0.043838482	0.073015968	2.546607747	0.013270375	0.035038834	0.451267484	0.654064509	0.922428455
[Haemophilus] ducreyi	1.927259451	0.055455983	0.127947013	1.263528959	0.208280288	0.306898685	-0.942353246	0.34899775	0.777135214	0.62021383	0.536772286	0.922269479	0.123791781	0.901870857	0.978146458	-0.500743218	0.619978788	0.999967035	1.458165563	0.149288064	0.193503512	1.095394418	0.277071348	0.326843369	-0.800739341	0.42768485	0.866280028
[Mannheimia] succiniciproducens	0.440212567	0.660327256	0.750992201	1.46568122	0.145036684	0.234335433	1.269515601	0.208130938	0.718884133	-0.056434414	0.955156285	0.993150685	0.533044738	0.59621034	0.901181564	0.897995903	0.375894915	0.999967035	0.809722825	0.420823426	0.466574227	1.54983345	0.125623352	0.172228561	0.948889895	0.347979366	0.853998896
[Mycobacterium] stephanolepidis	1.341280107	0.181549819	0.294614275	2.462475781	0.014952511	0.051173681	1.851477423	0.067985365	0.639084744	0.524068643	0.602061548	0.93732681	2.025226267	0.047686868	0.571791857	1.38762272	0.174839788	0.999967035	1.968892381	0.053038743	0.084491068	2.232813043	0.028821162	0.057662653	1.270243207	0.210828456	0.850407114
[Pasteurella] aerogenes	3.680697879	0.000312124	0.004868375	1.900705492	0.059386706	0.125175787	-1.706688934	0.091962996	0.666789243	1.873025761	0.065642303	0.685923843	0.780448961	0.438773065	0.867522115	-1.53894691	0.133648247	0.999967035	2.955794174	0.004163287	0.014677798	1.700217459	0.093513711	0.136628843	-1.137553461	0.261606082	0.850407114
[Polyangium] brachysporum	2.299254427	0.022611594	0.070925892	1.068518104	0.286980258	0.390442452	-1.706403108	0.092016436	0.666789243	0.453179298	0.651702794	0.941632966	0.536183793	0.593793305	0.901181564	-0.598035532	0.554025599	0.999967035	3.021354327	0.003465576	0.013274755	1.451978805	0.150873481	0.197819015	-1.611955398	0.114288358	0.84843959
[Pseudomonas] mesoacidophila	2.930797616	0.003854387	0.022911961	2.103218035	0.037234582	0.091814467	-1.346882543	0.182020712	0.702463343	0.517664543	0.606421035	0.93732681	0.960236248	0.341828868	0.8336109	0.426391615	0.672677293	0.999967035	3.660750171	0.000448691	0.004678844	2.477595094	0.01562236	0.038797622	-2.195922558	0.033540187	0.84843959
[Ruminococcus] gnavus	-3.172400612	0.001801412	0.014062147	-1.649027973	0.1015396	0.181757519	1.987995826	0.050413827	0.629416	-2.083078923	0.041520852	0.608096588	-0.493845852	0.623736683	0.907283963	2.04738399	0.048903928	0.999967035	-2.382572132	0.019540572	0.040615743	-1.779941393	0.079324081	0.121455438	0.959529104	0.342656779	0.853998896
alpha proteobacterium HIMB5	3.376773425	0.000896891	0.009318746	3.894945931	0.000152059	0.003118605	1.018170052	0.311827477	0.767194283	2.018243301	0.047328032	0.627802389	1.68929801	0.097577921	0.655170983	-0.01935163	0.984680758	0.999967035	2.252002805	0.027888505	0.051997421	3.122174648	0.002657778	0.014108818	1.356532946	0.182009524	0.84843959
alpha proteobacterium HIMB59	2.370535259	0.018778174	0.062370658	3.167490913	0.001848047	0.013546958	1.248611772	0.215639721	0.725939169	0.978473968	0.330890745	0.862208515	1.957723295	0.054283055	0.5761829	0.896768048	0.376539966	0.999967035	2.926756375	0.004769875	0.015977872	3.169531962	0.002278934	0.013096926	0.873189844	0.387409941	0.859063901
candidate division Zixibacteria bacterium	0.60330558	0.547101647	0.656900184	1.343550024	0.181119227	0.276251555	0.781115752	0.43716085	0.804283352	-0.71165696	0.479040903	0.903003978	0.290115747	0.772681923	0.954343669	0.990609234	0.329308214	0.999967035	2.04504493	0.04405776	0.073293334	2.249372126	0.027577339	0.055939725	0.382306935	0.704116816	0.932003159
cyanobacterium endosymbiont of Epithemia turgida	0.649153597	0.517029431	0.631571336	1.94869662	0.05319441	0.11603396	1.850889724	0.068070919	0.639084744	-1.3764015	0.172669086	0.797579017	0.324533352	0.74645015	0.945901388	1.463805854	0.153001951	0.999967035	2.4035631	0.019322368	0.040328096	2.515214482	0.014128775	0.036271469	1.218001833	0.229864583	0.850407114
cyanobacterium endosymbiont of Rhopalodia gibberula	0.577799616	0.564132859	0.671546462	2.465287391	0.014817224	0.05089872	1.813941178	0.073633794	0.653385485	-0.350322472	0.72728934	0.958209274	1.180453635	0.242478173	0.786681329	1.056467904	0.298665423	0.999967035	1.725751846	0.08875017	0.126092394	2.757689088	0.00738964	0.024937232	1.462365121	0.150912066	0.84843959
endosymbiont TC1 of Trimyema compressum	2.058575464	0.040950421	0.104742553	3.147086585	0.001968985	0.014203072	1.130208649	0.261942622	0.741563712	0.582790431	0.56171586	0.924613094	1.957578872	0.054830752	0.5761829	1.220131484	0.231330933	0.999967035	2.703326479	0.008477715	0.02315437	3.061983294	0.003127432	0.015486757	0.464156132	0.644877313	0.918550449
endosymbiont of Acanthamoeba sp. UWC8	2.792968711	0.005793974	0.029489841	4.64832036	6.75E-06	0.000507226	1.494997062	0.139056059	0.684292378	0.586273726	0.560036306	0.924613094	1.415758552	0.162061733	0.728220085	0.54732485	0.587952845	0.999967035	3.493945635	0.000926073	0.006607337	4.916273661	9.29E-06	0.001793857	1.664602771	0.103263366	0.84843959
endosymbiont of unidentified scaly snail isolate Monju	2.666462409	0.008508936	0.037301607	2.557652233	0.011644545	0.04358275	-1.015800512	0.312947349	0.767194283	0.855027442	0.396127043	0.878196122	0.316777625	0.75269838	0.947470992	-1.313336386	0.198409222	0.999967035	2.945215172	0.004203122	0.014757391	3.233216863	0.001851973	0.011640634	-0.426338744	0.671987826	0.923889282
gamma proteobacterium HdN1	1.303718589	0.194066129	0.310215572	1.457579207	0.147155279	0.236794743	0.103482698	0.917852467	0.981027221	-0.346012112	0.730246429	0.958209274	0.219190794	0.827311349	0.967484847	0.275685689	0.784562009	0.999967035	2.586716649	0.011464856	0.028245421	2.504027019	0.014548479	0.036968007	-0.067927659	0.946158105	0.988540795
gamma proteobacterium SS-5	1.938072029	0.05436585	0.126217791	3.084002318	0.002440328	0.016239802	0.446635906	0.656408079	0.898666151	0.228923896	0.819646294	0.969628793	1.329501252	0.188387139	0.752037758	0.875980238	0.387569195	0.999967035	2.876201772	0.005127749	0.016735189	3.533735271	0.00072079	0.007530359	0.074606926	0.940873472	0.987419705
haloarchaeon 3A1-DGR	-0.769665565	0.442459215	0.56312991	0.773994669	0.440010943	0.540818404	1.834195494	0.070539141	0.640685488	-2.460441164	0.015579464	0.474267914	-0.335058504	0.738676852	0.944407575	1.87534051	0.069896071	0.999967035	1.072781143	0.287604535	0.335750053	1.764565119	0.083154047	0.125589726	0.845120148	0.402721782	0.859063901
halophilic archaeon DL31	2.08368132	0.038593084	0.100721735	2.220117834	0.027903074	0.075547612	-0.189625734	0.850107957	0.964227005	-1.033947986	0.304297377	0.858137965	0.633480469	0.528991406	0.884816851	1.742037552	0.091107573	0.999967035	4.632598362	1.41E-05	0.001790849	3.729079091	0.000380302	0.005567898	-1.265231434	0.212601881	0.850407114
methanogenic archaeon ISO4-H5	2.858338721	0.004773391	0.026138429	1.827857799	0.069491458	0.139233427	-2.187493638	0.031781349	0.568837961	0.85748344	0.39418086	0.878196122	0.095902417	0.923936865	0.982518597	-1.777895991	0.084925903	0.999967035	3.004402088	0.003648352	0.013676147	2.425820022	0.018050483	0.041954885	-1.546005731	0.129432033	0.84843959
