p-variable	slope	adjusted.p-variable
Clostridiaceae	0.663002482553882	0.00927345821097131	0.8188160156241
Clostridiales Family XIII. Incertae Sedis	0.880151505233496	-0.00364776173437173	0.930755698552875
Clostridiales Family XVI. Incertae Sedis	0.570845458596235	0.014001133401351	0.783961096472162
Clostridiales Family XVII. Incertae Sedis	0.13583582751519	0.0500045975740254	0.538283046211834
Cohaesibacteraceae	0.0792794267025966	0.0496472218176949	0.538283046211834
Coleofasciculaceae	0.245484271565413	0.0352562950435245	0.582756798450511
Colwelliaceae	0.948873567055662	-0.00124099681260521	0.975388996075181
Comamonadaceae	0.0608448780748668	0.0500510323734638	0.538283046211834
Conexibacteraceae	0.160078135673291	0.0458424955312463	0.538283046211834
Coprothermobacteraceae	0.0085185931007181	0.0940089918858485	0.538283046211834
Coriobacteriaceae	0.64722009851657	0.0315877120370964	0.817459677795735
Corynebacteriaceae	0.292114784721238	0.0253560204725065	0.604173149122239
Coxiellaceae	0.841970759286472	0.00436902175715364	0.912873560068491
Crocinitomicaceae	0.308528423530193	0.0326374351576013	0.610654220160983
Cryomorphaceae	0.53101553415382	0.0194698914646376	0.756944014948474
Cryptococcaceae	0.453814167121426	0.016333335288125	0.715774769122101
Cuniculiplasmataceae	0.325948540620796	0.031386389676557	0.628702241272323
Cyanobacteriaceae	0.513678053271586	0.0164391167893074	0.749416989900473
Cyanothecaceae	0.301473620199252	0.0249091235667592	0.60978305924505
Cyclobacteriaceae	0.406060014205991	0.0135092896994862	0.690168010944177
Cytophagaceae	0.534675610485708	0.0119481109716142	0.756944014948474
Debaryomycetaceae	0.60129331912738	-0.0126916687857775	0.798108400388146
Deferribacteraceae	0.772811699672486	0.00633632653600139	0.887859929870123
Dehalococcoidaceae	0.725147069322917	-0.0101048915257332	0.861058203673514
Deinococcaceae	0.101069575266207	0.0464238111887827	0.538283046211834
Dermabacteraceae	0.246681518567401	0.0302557522521413	0.582756798450511
Dermacoccaceae	0.0753066749370005	0.0563766016171693	0.538283046211834
Dermatophilaceae	0.619804721114465	0.0117470381654114	0.80402879439282
Dermocarpellaceae	0.490134039072596	0.0165539316952781	0.72400862931194
Desulfarculaceae	0.261867565329232	0.0372190274220887	0.586355635411107
Desulfobacteraceae	0.194663129930977	0.0308043242480756	0.564510275494371
Desulfobulbaceae	0.216169184242996	0.0294876085347599	0.582756798450511
Desulfohalobiaceae	0.349929916440057	0.028373812126324	0.653242852143947
Desulfomicrobiaceae	0.0660592900198105	0.049328248136976	0.538283046211834
Desulfovibrionaceae	0.212703216406938	0.0569523637014271	0.582671044944538
Desulfurellaceae	0.619522909729313	-0.0128381954934025	0.80402879439282
Desulfurobacteriaceae	0.560731558002993	0.014938932531693	0.776281592396617
Desulfurococcaceae	0.698016779439906	0.00976675602740775	0.845855176682441
Desulfuromonadaceae	0.162007518762785	0.0348165468851626	0.538283046211834
Dictyoglomaceae	0.830187067483799	0.00554903564027901	0.911072211463668
Dietziaceae	0.259106727956809	0.0318556316359986	0.586355635411107
Dipodascaceae	0.381229577763061	0.0251759489754732	0.674852239753084
Dysgonamonadaceae	0.795548843869232	-0.00812140364111542	0.895027064887912
Ectothiorhodospiraceae	0.0299527484856282	0.0590865242258439	0.538283046211834
Eggerthellaceae	0.482222542422351	-0.0363551969516319	0.721830227236977
Egibacteraceae	0.157037631661595	0.0444592775861095	0.538283046211834
Egicoccaceae	0.0921351922505492	0.0570924744010075	0.538283046211834
Elusimicrobiaceae	0.607445640918979	-0.0140916706858767	0.80213975659814
Emcibacteraceae	0.112523450007904	0.0462494160244045	0.538283046211834
Endomicrobiaceae	0.526119042182254	0.0167735085162366	0.754739015943903
Endozoicomonadaceae	0.305571654153769	0.0283944422230433	0.610654220160983
Enterobacteriaceae	0.222987263355859	0.0479857423738467	0.582756798450511
Enterococcaceae	0.72067594158295	-0.00972624557964633	0.861058203673514
Entomoplasmataceae	0.630395961671208	-0.0142043252856371	0.812865277516974
Erwiniaceae	0.28501727165214	0.021036199247869	0.60157333975759
Erysipelotrichaceae	0.0939124253263505	0.0440143215434792	0.538283046211834
